#Task Selector: 5
#PID Parameters: kp: 0.04, kd: 0.06, ki: 0.01
#n_pos: 20
#n_vel: 5
t x_ref y_ref vx_ref vy_ref x_raw y_raw x y vx_raw vy_raw vx vy
1652728950096266 0.00 0.00 0.00 0.00 -1.39 0.11 -0.07 0.01 -4348.86 345.90 -869.77 69.18
1652728950112247 0.00 0.00 0.00 0.00 -0.19 0.11 -0.08 0.01 -0.53 0.31 -869.88 69.24
1652728950128269 0.00 0.00 0.00 0.00 -0.19 0.11 -0.09 0.02 -0.61 0.36 -870.00 69.31
1652728950144694 0.00 0.00 0.00 0.00 -0.19 0.11 -0.10 0.02 -0.61 0.35 -870.12 69.38
1652728950161118 0.00 0.00 0.00 0.00 -2.59 0.11 -0.23 0.03 -7.98 0.34 -871.72 69.45
1652728950177093 0.00 0.00 0.00 0.00 -2.59 -1.09 -0.36 -0.03 -8.00 -3.37 -3.55 -0.40
1652728950193369 0.00 0.00 0.00 0.00 -1.39 0.11 -0.43 -0.02 -4.41 0.35 -4.32 -0.39
1652728950209629 0.00 0.00 0.00 0.00 -1.39 -1.09 -0.50 -0.08 -4.33 -3.39 -5.07 -1.14
1652728950225680 0.00 0.00 0.00 0.00 -1.39 -1.09 -0.57 -0.13 -4.33 -3.39 -5.81 -1.89
1652728950242119 0.00 0.00 0.00 0.00 -2.59 -1.09 -0.70 -0.18 -8.17 -3.44 -5.85 -2.65
1652728950258042 0.00 0.00 0.00 0.00 -2.59 0.11 -0.83 -0.18 -7.98 0.34 -5.85 -1.91
1652728950274974 0.00 0.00 0.00 0.00 -1.39 1.31 -0.90 -0.11 -4.42 4.16 -5.85 -1.14
1652728950291032 0.00 0.00 0.00 0.00 -1.39 1.31 -0.96 -0.05 -4.15 3.91 -5.81 0.32
1652728950307198 0.00 0.00 0.00 0.00 -1.39 2.21 -1.03 0.06 -4.38 6.96 -5.82 2.39
1652728950323518 0.00 0.00 0.00 0.00 -2.59 2.21 -1.16 0.17 -8.11 6.92 -5.81 4.46
1652728950339572 0.00 0.00 0.00 0.00 -1.39 0.11 -1.23 0.18 -4.32 0.34 -5.08 4.46
1652728950355914 0.00 0.00 0.00 0.00 -1.39 1.31 -1.30 0.24 -4.38 4.13 -5.07 4.45
1652728950372173 0.00 0.00 0.00 0.00 -1.39 1.31 -1.37 0.31 -4.30 4.06 -5.10 4.48
1652728950388426 0.00 0.00 0.00 0.00 -1.39 2.21 -1.44 0.42 -4.33 6.88 -5.09 4.46
